file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,0
style.css,53,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,0
style.css,54,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,25
style.css,55,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,18
style.css,56,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,2,17
style.css,57,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,0
style.css,58,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,7
style.css,59,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,2,19
style.css,60,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,0
style.css,61,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,0
style.css,62,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,0,0
style.css,63,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,0,4
style.css,64,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,31
style.css,65,css,11eb8e70,pratham-aggr,2026-04-07,10:42:24,-07:00,2026-04-07T10:42:24-07:00,1,32
style.css,66,css,575e145f,pratham-aggr,2026-04-15,13:38:03,-07:00,2026-04-15T13:38:03-07:00,1,23
